Rank,Title,Author,Score,Syllabus Count
1,Calculus,Calculus,100,"18,299"
2,The Elements of Style,The Elements of Style,100,"15,020"
3,Social Research Methods,Social Research Methods,100,"14,704"
4,Human Anatomy and Physiology Laboratory Manual,Human Anatomy and Physiology Laboratory Manual,100,"14,542"
5,English Grammar in Use,English Grammar in Use,100,"14,101"
6,Research Design,Research Design,100,"13,199"
7,Doing Your Research Project: A Guide for First-Time Researchers in Education and Social Science,Doing Your Research Project: A Guide for First-Time Researchers in Education and Social Science,100,"13,021"
8,Biology,Biology,100,"12,532"
9,"A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers","A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers",100,"12,299"
10,The Study Skills Handbook,The Study Skills Handbook,100,"12,026"
11,Discovering Statistics Using IBM SPSS,Discovering Statistics Using IBM SPSS,100,"11,610"
12,Orientalism,Orientalism,100,"10,652"
13,Manifesto of the Communist Party,Manifesto of the Communist Party,100,"10,629"
14,Marketing Management,Marketing Management,100,"10,263"
15,Molecular Biology of the Cell: The Problems Book,Molecular Biology of the Cell: The Problems Book,100,"10,159"
16,Imagined Communities: Reflections on the Origin and Spread of Nationalism,Imagined Communities: Reflections on the Origin and Spread of Nationalism,100,"10,125"
17,Introduction to Algorithms,Introduction to Algorithms,100,"10,044"
18,They Say/I Say,They Say/I Say,100,"9,785"
19,A Pocket Style Manual,A Pocket Style Manual,100,"9,355"
20,The Craft of Research,The Craft of Research,100,"9,336"
21,Artificial Intelligence: A Modern Approach,Artificial Intelligence: A Modern Approach,100,"8,867"
22,Frankenstein,Frankenstein,100,"8,512"
23,Leviathan,Leviathan,100,"8,323"
24,Discipline and Punish: The Birth of the Prison,Discipline and Punish: The Birth of the Prison,99,"8,153"
25,Research Methods for Business Students,Research Methods for Business Students,100,"8,151"
26,Critical Thinking Skills: Developing Effective Analysis and Argument,Critical Thinking Skills: Developing Effective Analysis and Argument,100,"8,055"
27,Introductory Econometrics: A Modern Approach,Introductory Econometrics: A Modern Approach,100,"7,768"
28,The Good Research Guide: For Small-Scale Social Research Projects,The Good Research Guide: For Small-Scale Social Research Projects,100,"7,697"
29,Give Me Liberty!: An American History,Give Me Liberty!: An American History,100,"7,685"
30,Principles of Corporate Finance,Principles of Corporate Finance,100,"7,588"
31,Computer Networking,Computer Networking,100,"7,572"
32,Real World Research: A Resource for Social Scientists and Practitioner-Researchers,Real World Research: A Resource for Social Scientists and Practitioner-Researchers,100,"7,368"
33,A Writer's Reference,A Writer's Reference,99,"7,346"
34,The Prince,The Prince,99,"7,167"
35,The Art of Public Speaking,The Art of Public Speaking,99,"7,071"
36,Heart of Darkness,Heart of Darkness,99,"7,045"
37,Doing Qualitative Research: A Practical Handbook,Doing Qualitative Research: A Practical Handbook,99,"6,823"
38,Leadership: Theory and Practice,Leadership: Theory and Practice,99,"6,783"
39,Principles of Anatomy and Physiology,Principles of Anatomy and Physiology,99,"6,776"
40,Republic,Republic,99,"6,741"
41,Gender Trouble: Feminism and the Subversion of Identity,Gender Trouble: Feminism and the Subversion of Identity,99,"6,734"
42,International Economics: Theory and Policy,International Economics: Theory and Policy,99,"6,627"
43,Ways of Seeing: Based on the BBC Television Series,Ways of Seeing: Based on the BBC Television Series,99,"6,624"
44,We the People: An Introduction to American Politics,We the People: An Introduction to American Politics,99,"6,602"
45,Research Methods in Education,Research Methods in Education,99,"6,564"
46,The Clash of Civilizations?,The Clash of Civilizations?,98,"6,564"
47,Case Study Research: Design and Methods,Case Study Research: Design and Methods,99,"6,544"
48,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,100,"6,462"
49,Principles of Marketing,Principles of Marketing,99,"6,439"
50,Pedagogy of the Oppressed,Pedagogy of the Oppressed,99,"6,397"
51,Getting to Yes: Negotiating Agreement Without Giving In,Getting to Yes: Negotiating Agreement Without Giving In,99,"6,315"
52,Engineering Mechanics,Engineering Mechanics,99,"6,292"
53,Physical Chemistry,Physical Chemistry,99,"6,195"
54,How to Read a Paper: The Basics of Evidence-Based Medicine,How to Read a Paper: The Basics of Evidence-Based Medicine,98,"6,191"
55,"Fundamentals of Physics: David Halliday, Robert Resnick, Jearl Walker","Fundamentals of Physics: David Halliday, Robert Resnick, Jearl Walker",99,"6,158"
56,The Reflective Practitioner: How Professionals Think in Action,The Reflective Practitioner: How Professionals Think in Action,98,"6,141"
57,Reflective Practice: Writing and Professional Development,Reflective Practice: Writing and Professional Development,99,"6,113"
58,Easy Writer,Easy Writer,96,"6,089"
59,Film Art: An Introduction,Film Art: An Introduction,98,"6,020"
60,Computer Networks,Computer Networks,99,"5,993"
61,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers","Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers",99,"5,959"
62,Qualitative Inquiry and Research Design,Qualitative Inquiry and Research Design,100,"5,956"
63,The History of Sexuality: 1,The History of Sexuality: 1,98,"5,894"
64,Intermediate Accounting,Intermediate Accounting,98,"5,879"
65,Rang and Dale's Pharmacology,Rang and Dale's Pharmacology,98,"5,870"
66,"Options, Futures, and Other Derivatives","Options, Futures, and Other Derivatives",99,"5,865"
67,The Structure of Scientific Revolutions,The Structure of Scientific Revolutions,98,"5,865"
68,Gorgias,Gorgias,98,"5,856"
69,Skills for Success,Skills for Success,98,"5,845"
70,Yellow Wallpaper,Yellow Wallpaper,98,"5,839"
71,Business Research Methods,Business Research Methods,99,"5,772"
72,The Elements of Statistical Learning,The Elements of Statistical Learning,99,"5,713"
73,Communication Skills Handbook,Communication Skills Handbook,95,"5,680"
74,Materials Science and Engineering: An Introduction,Materials Science and Engineering: An Introduction,99,"5,655"
75,Chemistry: The Central Science,Chemistry: The Central Science,98,"5,645"
76,Principles of Biochemistry: The Molecular Basis of Cell Structure and Function,Principles of Biochemistry: The Molecular Basis of Cell Structure and Function,99,"5,573"
77,University Physics: With Modern Physics,University Physics: With Modern Physics,98,"5,426"
78,Pattern Recognition and Machine Learning,Pattern Recognition and Machine Learning,99,"5,369"
79,Fundamentals of Anatomy and Physiology,Fundamentals of Anatomy and Physiology,98,"5,361"
80,Calculus,Calculus,98,"5,350"
81,Elementary Statistics,Elementary Statistics,97,"5,324"
82,On Liberty,On Liberty,97,"5,280"
83,Intermediate Microeconomics: A Modern Approach,Intermediate Microeconomics: A Modern Approach,98,"5,252"
84,A Theory of Justice,A Theory of Justice,97,"5,212"
85,The C Programming Language,The C Programming Language,98,"5,175"
86,Fundamental Principles of the Metaphysic of Morals,Fundamental Principles of the Metaphysic of Morals,97,"5,169"
87,Management and Organisational Behaviour,Management and Organisational Behaviour,98,"5,140"
88,The Norton Field Guide to Writing,The Norton Field Guide to Writing,99,"5,133"
89,Second Treatise of Government,Second Treatise of Government,97,"5,127"
90,Doing a Literature Review: Releasing the Social Science Research Imagination,Doing a Literature Review: Releasing the Social Science Research Imagination,97,"5,121"
91,The Souls of Black Folk,The Souls of Black Folk,97,"5,101"
92,America: A Narrative History,America: A Narrative History,96,"5,062"
93,Business Vocabulary in Use: Intermediate,Business Vocabulary in Use: Intermediate,97,"5,003"
94,Computer Organization and Design: The Hardware/Software Interface,Computer Organization and Design: The Hardware/Software Interface,97,"4,968"
95,Practical English Usage,Practical English Usage,98,"4,961"
96,Jak Napsat Odborný Text,Jak Napsat Odborný Text,98,"4,952"
